n,id,type,hearts,clubs,spades,diamonds,blocked,occupied,execution_time,score
5,13,asp,6,6,18,17,8,4,0.1051,26
5,13,mzn,6,6,18,17,8,4,0.2605,26
5,14,asp,2,11,9,12,2,8,300.0,33
5,14,mzn,2,11,9,12,2,8,0.2458,33
5,15,asp,25,4,8,8,4,6,273.2489,44
5,15,mzn,25,4,8,8,4,6,0.2329,44
5,16,asp,21,21,12,14,7,3,2.3234,35
5,16,mzn,21,21,12,14,7,3,0.1917,35
5,17,asp,6,20,9,21,3,3,300.0,62
5,17,mzn,6,20,9,21,3,3,0.643,63
5,18,asp,9,10,10,19,8,4,0.6482,23
5,18,mzn,9,10,10,19,8,4,0.1911,23
5,19,asp,10,15,24,22,8,6,0.2869,24
5,19,mzn,10,15,24,22,8,6,0.1849,24
5,20,asp,9,8,3,8,4,6,74.8207,46
5,20,mzn,9,8,3,8,4,6,0.1887,46
6,1,asp,24,6,23,3,5,8,300.0,0
6,1,mzn,24,6,23,3,5,8,8.6766,73
6,2,asp,19,26,27,17,1,12,300.0,0
6,2,mzn,19,26,27,17,1,12,109.1635,115
6,3,asp,29,32,5,34,10,9,44.6973,46
6,3,mzn,29,32,5,34,10,9,0.1805,46
6,4,asp,29,5,10,15,6,9,300.0,0
6,4,mzn,29,5,10,15,6,9,9.181,76
6,5,asp,27,10,14,16,5,3,300.0,0
6,5,mzn,27,10,14,16,5,3,300.0,99
6,6,asp,24,26,20,32,5,8,300.0,0
6,6,mzn,24,26,20,32,5,8,12.5729,91
6,7,asp,3,26,21,36,4,9,300.0,0
6,7,mzn,3,26,21,36,4,9,25.2508,67
6,8,asp,17,34,2,3,12,10,1.1178,29
6,8,mzn,17,34,2,3,12,10,0.174,29
6,9,asp,30,34,14,21,11,11,3.2705,30
6,9,mzn,30,34,14,21,11,11,0.1905,30
6,10,asp,2,6,30,34,1,11,300.0,0
6,10,mzn,2,6,30,34,1,11,72.5759,67
6,11,asp,4,30,10,31,7,4,300.0,0
6,11,mzn,4,30,10,31,7,4,24.4551,81
6,12,asp,27,33,30,35,8,9,300.0,0
6,12,mzn,27,33,30,35,8,9,0.2588,61
6,13,asp,24,15,34,34,6,1,300.0,66
6,13,mzn,24,15,34,34,6,1,123.3021,103
6,14,asp,14,26,2,34,4,11,300.0,0
6,14,mzn,14,26,2,34,4,11,19.621,69
6,15,asp,13,12,12,3,6,10,300.0,0
6,15,mzn,13,12,12,3,6,10,0.3837,60
6,16,asp,24,10,27,6,11,8,3.7848,34
6,16,mzn,24,10,27,6,11,8,0.1915,34
6,17,asp,26,2,31,34,5,4,300.0,0
6,17,mzn,26,2,31,34,5,4,99.7127,63
6,18,asp,24,27,27,20,3,1,300.0,0
6,18,mzn,24,27,27,20,3,1,300.0,104
6,19,asp,20,1,7,28,7,2,300.0,0
6,19,mzn,20,1,7,28,7,2,3.1561,47
6,20,asp,30,24,11,34,6,10,300.0,0
6,20,mzn,30,24,11,34,6,10,5.4557,73
8,1,asp,30,53,15,11,3,10,300.0,0
8,1,mzn,30,53,15,11,3,10,300.0,119
8,2,asp,1,29,54,5,9,5,300.0,0
8,2,mzn,1,29,54,5,9,5,300.0,72
8,3,asp,42,4,54,6,18,11,300.0,0
8,3,mzn,42,4,54,6,18,11,17.113,60
8,4,asp,56,50,54,11,11,9,300.0,0
8,4,mzn,56,50,54,11,11,9,300.0,121
8,5,asp,1,1,43,35,8,3,300.0,0
8,5,mzn,1,1,43,35,8,3,300.0,74
8,6,asp,29,15,45,10,15,13,300.0,0
8,6,mzn,29,15,45,10,15,13,300.0,102
8,7,asp,20,3,12,24,3,7,300.0,0
8,7,mzn,20,3,12,24,3,7,300.0,0
8,8,asp,4,16,24,52,19,17,300.0,0
8,8,mzn,4,16,24,52,19,17,2.456,101
8,9,asp,2,31,51,50,13,2,300.0,0
8,9,mzn,2,31,51,50,13,2,300.0,86
8,10,asp,35,2,19,62,15,9,300.0,0
8,10,mzn,35,2,19,62,15,9,300.0,87
8,11,asp,6,32,16,29,13,12,300.0,0
8,11,mzn,6,32,16,29,13,12,300.0,104
8,12,asp,6,4,42,51,9,4,300.0,0
8,12,mzn,6,4,42,51,9,4,300.0,83
8,13,asp,56,57,26,52,6,2,300.0,0
8,13,mzn,56,57,26,52,6,2,300.0,150
8,14,asp,58,36,41,2,13,8,300.0,0
8,14,mzn,58,36,41,2,13,8,300.0,70
8,15,asp,45,14,31,9,20,16,300.0,0
8,15,mzn,45,14,31,9,20,16,2.6816,71
8,16,asp,15,22,9,34,8,17,300.0,0
8,16,mzn,15,22,9,34,8,17,300.0,106
8,17,asp,20,37,39,29,6,19,300.0,0
8,17,mzn,20,37,39,29,6,19,300.0,125
8,18,asp,17,10,49,13,6,21,300.0,0
8,18,mzn,17,10,49,13,6,21,300.0,123
8,19,asp,4,57,48,26,20,15,300.0,0
8,19,mzn,4,57,48,26,20,15,2.5221,67
8,20,asp,60,25,27,64,14,20,300.0,0
8,20,mzn,60,25,27,64,14,20,300.0,72
10,1,asp,74,42,5,63,1,16,300.0,0
10,1,mzn,74,42,5,63,1,16,300.0,147
10,2,asp,87,64,63,98,29,32,300.0,0
10,2,mzn,87,64,63,98,29,32,300.0,98
10,3,asp,38,36,63,32,17,17,300.0,0
10,3,mzn,38,36,63,32,17,17,300.0,160
10,4,asp,82,28,36,13,26,28,300.0,0
10,4,mzn,82,28,36,13,26,28,300.0,139
10,5,asp,14,43,83,26,13,12,300.0,0
10,5,mzn,14,43,83,26,13,12,300.0,0
10,6,asp,63,31,17,84,3,16,300.0,0
10,6,mzn,63,31,17,84,3,16,300.0,231
10,7,asp,66,73,18,86,21,16,300.0,0
10,7,mzn,66,73,18,86,21,16,300.0,89
10,8,asp,31,59,26,90,31,33,300.0,0
10,8,mzn,31,59,26,90,31,33,300.0,100
10,9,asp,91,14,32,62,13,5,300.0,0
10,9,mzn,91,14,32,62,13,5,300.0,91
